"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"3";"";"PINHD-1X6";"1X06";"JP2, MOTOR, ORSEN";"PIN HEADER";"";
"1";"";"PINHD-1X7";"1X07";"JP1";"PIN HEADER";"";
"3";"100n";"C-USC0805";"C0805";"C3, C4, C5";"CAPACITOR, American symbol";"";
"1";"10k";"R-US_R0805";"R0805";"R1";"RESISTOR, American symbol";"";
"1";"1M";"R-US_R0805";"R0805";"R2";"RESISTOR, American symbol";"";
"1";"1k";"R-US_R0805";"R0805";"R4";"RESISTOR, American symbol";"";
"1";"3k";"R-US_R0805";"R0805";"R3";"RESISTOR, American symbol";"";
"2";"47u";"CPOL-US153CLV-0605";"153CLV-0605";"C1, C2";"POLARIZED CAPACITOR, American symbol";"";
"1";"694106105102";"694106105102";"694106105102";"J1";"CONN PWR JACK 2.05X5.5MM SOLDER";"";
"1";"AT328P-DIP-SOCKET";"AT328P-DIP-SOCKET";"AT328P-BASIC-BOARD1";"U$1";"";"";
"1";"CSTNE16M0V53C000R0";"CSTNE16M0V53C000R0";"CSTNE16M0V53C000R0";"U$3";"";"";
"1";"FDN340P";"PMOSSOT23";"SOT-23";"T1";"MOS FET";"";
"1";"LM1117MP-5.0/NOPB";"LM1117MP-5.0/NOPB";"MP04A";"U1";"";"";
"1";"LMV321ILT";"LMV321ILT";"SOT23-5";"CR1";"";"";
"1";"MSMF050-2";"L-USL1812";"L1812";"L1";"INDUCTOR, American symbol";"";
"1";"MTRDRVRMTRDRVR";"MTRDRVRMTRDRVR";"HDRVR16W64P2784X254_2X8_2100X3000X254B";"U$4";"";"";
"1";"PUSHBUTTON";"EVQ-Q2Y03WPUSHBUTTON";"DFN660X600X40-4N";"U$2";"Panasonic pushbutton tactile switch";"";
